Bid,Sid,WasSunk
200,453,False
52,357,False
178,441,True
16,276,False
112,294,False
29,450,False
44,296,False
6,144,True
49,479,False
99,162,True
2,327,False
135,80,True
74,400,False
136,133,False
86,145,True
34,412,False
155,177,False
70,78,False
91,383,True
137,390,True
24,236,True
117,198,False
180,436,False
139,194,False
30,115,True
140,96,True
159,111,False
196,418,False
95,284,False
163,133,True
68,19,True
166,305,False
118,180,False
162,463,False
37,179,False
103,388,False
95,208,False
121,358,False
138,459,False
168,180,False
21,373,False
80,162,False
51,342,False
73,42,False
95,238,True
59,29,False
137,328,False
79,340,False
180,13,False
102,292,False
138,390,False
72,170,False
151,251,False
12,117,False
104,105,True
125,189,True
138,387,False
60,451,False
81,123,False
142,368,True
190,228,False
144,33,False
26,424,False
33,456,False
22,175,False
197,28,False
60,424,False
185,91,False
174,489,False
91,400,False
6,150,False
196,156,False
163,258,True
176,12,False
9,14,False
22,495,False
188,474,True
124,158,False
194,11,False
41,171,True
169,187,False
23,155,True
48,253,False
167,410,True
111,267,False
185,482,False
102,350,False
112,44,False
62,410,False
130,416,False
65,335,False
48,209,False
57,134,False
53,483,True
182,135,False
149,274,False
117,266,True
51,348,True
25,367,True
134,22,False
145,274,True
126,249,False
55,131,True
83,93,False
52,369,False
129,438,False
181,239,False
194,130,False
91,215,False
38,224,False
114,499,False
43,127,True
98,362,False
55,328,False
175,451,False
154,212,False
80,310,True
4,284,False
192,19,False
42,162,True
35,172,False
92,419,False
95,114,False
116,477,False
126,186,False
42,65,False
74,470,False
89,71,True
194,38,False
118,244,False
62,10,False
29,396,False
15,1,True
48,328,False
193,252,False
122,187,True
160,361,False
108,438,False
136,426,False
84,245,False
146,354,False
143,498,False
102,63,False
72,294,False
38,438,False
135,265,False
88,195,True
44,123,True
39,399,False
172,148,False
45,77,False
103,445,False
120,457,True
162,392,False
41,469,False
134,136,False
24,312,False
68,471,False
130,231,True
14,193,False
94,289,True
166,477,False
7,156,False
3,177,False
200,153,False
162,86,True
175,260,False
18,306,False
18,80,False
189,207,False
116,150,False
49,152,False
56,431,False
185,269,False
135,338,False
22,371,False
119,132,False
13,72,False
27,336,False
91,73,False
110,32,False
62,250,True
170,317,False
39,292,False
55,280,False
189,279,False
169,116,False
4,233,False
43,444,True
176,149,False
163,101,False
64,321,False
33,356,False
80,442,False
84,361,False
11,52,False
6,447,False
117,234,False
153,58,False
77,289,False
