Bid,Casualties,Winner,Name,LootAmount,Location,Date
1,7,The Gutter Sharks,Battle of the Titans,$58195.71,Twilight Tides,1762-08-09
2,8,Redwater Marauders,Clash of the Champions,$76199.09,Blackreef Lagoon,1624-08-08
3,2,Saltfang Buccaneers,War of the Worlds,$29405.31,Skeleton Cove,1627-07-16
4,10,Devil’s Moor Marauders,Skirmish at Sunset,$96708.66,Blackreef Lagoon,1683-04-16
5,3,Frostwake Fleet,Siege of the Stronghold,$60977.99,Ashen Depths,1615-03-08
6,6,Howling Skulls,Rumble in the Jungle,$37716.24,Wraithwater Bay,1672-09-04
7,10,The Twisted Compass,Showdown at High Noon,$31672.88,Ashen Depths,1641-11-13
8,2,Shattered Mast Marauders,Conquest of the Kingdom,$18693.71,Shrouded Reef,1621-01-25
9,7,The Shackled Souls,Brawl at the Barrens,$94740.53,Broken Mast Bay,1739-03-21
10,4,Broken Anchor Brotherhood,Duel in the Desert,$5069.11,Phantom Shoals,1620-11-27
11,4,Cursed Horizon,Battle of the Titans,$58686.92,The Cursed Channels,1679-08-07
12,8,Ebonwake Company,Clash of the Champions,$81230.48,Stormwreck Atoll,1643-10-25
13,6,Rustskull Raiders,War of the Worlds,$79430.63,Wraithwater Bay,1779-01-17
14,1,Silverwave Pirates,Skirmish at Sunset,$42284.99,Shrouded Reef,1733-08-05
15,6,The Bitter Enders,Siege of the Stronghold,$11306.29,Dead Man’s Strait,1658-05-01
16,2,Salty Revenants,Rumble in the Jungle,$88333.85,Shadowmist Isle,1705-03-03
17,10,The Golden Kraken,Showdown at High Noon,$60979.19,Frostbite Strait,1754-08-11
18,10,The Shrouded Dagger,Conquest of the Kingdom,$88305.00,Grimwater Sound,1776-01-31
19,4,The Golden Kraken,Brawl at the Barrens,$41409.63,Frostbite Strait,1727-05-22
20,9,The Endless Wreck,Duel in the Desert,$75225.10,Shipwreck Shoals,1646-10-22
21,9,The Siren’s Howl,Battle of the Titans,$50484.30,Stormwreck Atoll,1765-10-28
22,8,The Hollow Jollys,Clash of the Champions,$46091.37,Broken Mast Bay,1784-07-26
23,10,The Ashen Kraken,War of the Worlds,$64679.57,Rusted Anchor Haven,1735-08-16
24,3,The Barnacle Brotherhood,Skirmish at Sunset,$87056.93,Shipwreck Shoals,1765-02-02
25,9,The Shrouded Dagger,Siege of the Stronghold,$92103.55,Grimwater Sound,1675-06-22
26,6,Shattered Mast Marauders,Rumble in the Jungle,$65452.16,Shrouded Reef,1676-05-07
27,1,The Bone Rats,Showdown at High Noon,$76897.97,Shipwreck Shoals,1726-09-16
28,3,Crimson Reef Company,Conquest of the Kingdom,$51312.65,Bloodwake Bay,1714-06-09
29,9,Ebonwake Company,Brawl at the Barrens,$91366.33,Stormwreck Atoll,1752-12-27
30,3,Widowmakers of the Deep,Duel in the Desert,$78037.60,Coralgrave Lagoon,1623-06-19
31,4,The Ashen Kraken,Battle of the Titans,$45197.29,Rusted Anchor Haven,1653-03-11
32,10,Devil’s Moor Marauders,Clash of the Champions,$9724.85,Blackreef Lagoon,1685-02-13
33,2,Serpent’s Wake,War of the Worlds,$22231.39,The Drowned Isles,1654-10-03
34,9,Black Powder Pact,Skirmish at Sunset,$20697.67,Bonefire Cay,1659-01-23
35,6,The Bleeding Horizon,Siege of the Stronghold,$20763.08,Daggerjaw Shoals,1734-04-03
36,9,Grimflag Corsairs,Rumble in the Jungle,$1105.56,Whispering Tides,1745-03-30
37,4,The Daggerfangs,Showdown at High Noon,$43804.45,Dead Man’s Strait,1778-11-06
38,10,Frostwake Fleet,Conquest of the Kingdom,$99073.76,Ashen Depths,1666-02-10
39,9,The Endless Wreck,Brawl at the Barrens,$39141.29,Shipwreck Shoals,1683-12-08
40,9,The Silver Scourge,Duel in the Desert,$63845.82,Ashen Depths,1745-10-02
41,10,The Daggered Sirens,Battle of the Titans,$20787.92,Siren’s Cove,1795-05-06
42,9,Blackfin Buccaneers,Clash of the Champions,$49099.99,Rusted Anchor Haven,1722-06-17
43,2,The Gallows Gulls,War of the Worlds,$72041.47,Shadowmist Isle,1734-03-11
44,3,The Abyssal Blades,Skirmish at Sunset,$18706.96,Daggerjaw Shoals,1723-03-17
45,6,The Fathomless Few,Siege of the Stronghold,$26332.45,Daggerjaw Shoals,1723-07-07
46,2,Lanternjaw Buccaneers,Rumble in the Jungle,$28596.89,Devil’s Backbone Reef,1684-09-09
47,8,The Bleeding Horizon,Showdown at High Noon,$4685.00,Daggerjaw Shoals,1785-07-17
48,8,The Grimcurrent,Conquest of the Kingdom,$77784.19,Shadowmist Isle,1734-11-01
49,4,The Iron Reavers,Brawl at the Barrens,$65075.78,The Drowned Isles,1724-12-08
50,10,The Coral Crows,Duel in the Desert,$73440.56,Bloodwake Bay,1660-11-11
51,7,The Shackled Souls,Battle of the Titans,$85603.63,Broken Mast Bay,1784-09-25
52,2,The Abyssal Blades,Clash of the Champions,$35074.35,Daggerjaw Shoals,1683-12-07
53,9,Serpent’s Wake,War of the Worlds,$41821.52,The Drowned Isles,1630-06-26
54,3,The Siren’s Howl,Skirmish at Sunset,$68171.51,Stormwreck Atoll,1751-07-21
55,8,Devil’s Backbone,Siege of the Stronghold,$88331.05,Bloodwake Bay,1710-06-06
56,5,The Reefcursed,Rumble in the Jungle,$39202.63,Shrouded Reef,1733-01-13
57,8,The Crimson Albatross,Showdown at High Noon,$23089.59,Ironwake Harbor.,1612-03-05
58,10,The Tempest Wolves,Conquest of the Kingdom,$77970.42,Leviathan’s Grave,1680-06-17
59,1,The Midnight Corsairs,Brawl at the Barrens,$32810.65,Coralgrave Lagoon,1799-02-23
60,7,Leviathan’s Bane,Duel in the Desert,$50626.45,Devil’s Backbone Reef,1694-03-20
61,10,Saltfang Buccaneers,Battle of the Titans,$19490.01,Skeleton Cove,1799-11-25
62,10,The Black Tide,Clash of the Champions,$59996.78,Bloodwake Bay,1607-07-02
63,1,The Jaded Compass,War of the Worlds,$96930.48,Wraithwater Bay,1792-01-27
64,9,The Shackled Souls,Skirmish at Sunset,$99107.62,Broken Mast Bay,1790-10-04
65,4,The Silver Scourge,Siege of the Stronghold,$47761.62,Ashen Depths,1699-11-12
66,6,The Bitter Enders,Rumble in the Jungle,$64095.90,Dead Man’s Strait,1713-06-01
67,10,Black Reef Revenants,Showdown at High Noon,$51218.10,Ironwake Harbor.,1754-07-30
68,4,The Bleeding Horizon,Conquest of the Kingdom,$73437.53,Daggerjaw Shoals,1662-01-18
69,7,Blackfin Buccaneers,Brawl at the Barrens,$6176.56,Rusted Anchor Haven,1793-01-11
70,10,The Siren’s Howl,Duel in the Desert,$81895.23,Stormwreck Atoll,1724-06-22
71,3,The Jaded Compass,Battle of the Titans,$18811.91,Wraithwater Bay,1691-08-29
72,2,The Scarlet Wraiths,Clash of the Champions,$20583.71,Daggerjaw Shoals,1632-11-13
73,6,Black Powder Pact,War of the Worlds,$72913.06,Bonefire Cay,1688-02-26
74,5,Gravedigger’s Crew,Skirmish at Sunset,$61192.39,The Drowned Isles,1771-03-09
75,6,Devil’s Backbone,Siege of the Stronghold,$25223.83,Bloodwake Bay,1676-03-04
76,2,The Bleeding Horizon,Rumble in the Jungle,$42254.37,Daggerjaw Shoals,1788-08-07
77,2,The Shrouded Dagger,Showdown at High Noon,$36043.68,Grimwater Sound,1703-02-07
78,1,The Tempest Wolves,Conquest of the Kingdom,$43837.71,Leviathan’s Grave,1771-08-29
79,4,The Reefcursed,Brawl at the Barrens,$16331.24,Shrouded Reef,1619-03-01
80,8,The Howling Horizon,Duel in the Desert,$54602.45,Siren’s Cove,1771-01-13
81,4,Thunderjaw Corsairs,Battle of the Titans,$54718.55,Siren’s Cove,1714-03-29
82,6,Ebonwake Company,Clash of the Champions,$36560.86,Stormwreck Atoll,1614-05-22
83,7,Serpent’s Wake,War of the Worlds,$61545.73,The Drowned Isles,1753-05-09
84,10,Blood Reef Brotherhood,Skirmish at Sunset,$87321.66,Bonefire Cay,1688-01-09
85,4,Cursed Horizon,Siege of the Stronghold,$98995.31,The Cursed Channels,1705-05-23
86,8,The Saltborn Scoundrels,Rumble in the Jungle,$8400.13,The Cursed Channels,1670-01-24
87,3,Broken Skull Buccaneers,Showdown at High Noon,$59253.37,Whispering Tides,1739-05-10
