Sid,Name,Type
1,Cursed Riptide,Galleon
2,The Duskwind,Brigantine
3,Daggerfin,Frigate
4,The Scarlet Sinker,Sloop
5,Siren’s Teeth,Barque
6,Black Sail’s Oath,Sloop
7,Ghosttide,Frigate
8,Cursed Riptide,Sloop
9,Deadlight,Brigantine
10,Ghosttide,Brigantine
11,Silverfin,Brigantine
12,Coral Reaper,Frigate
13,Seafoam Marauder,Barque
14,Dead Man’s Fancy,Galleon
15,Ebon Mariner,Sloop
16,Red Warden,Frigate
17,Riftbreaker,Frigate
18,Sunken Eclipse,Brigantine
19,Marrow's End,Brigantine
20,Drowned Dreamer,Galleon
21,Widow’s Fang,Brigantine
22,The Scarlet Tempest,Brigantine
23,Deadstar Corsair,Sloop
24,Leviathan’s Howl,Galleon
25,Shattered Fortune,Sloop
26,Specter’s Wake,Frigate
27,Darkwater Serpent,Sloop
28,The Ashen Star,Barque
29,Shattered Fortune,Sloop
30,Cracked Compass,Galleon
31,Lantern’s Curse,Galleon
32,The Silent Kraken,Frigate
33,The Sinking Specter,Brigantine
34,Silent Torrent,Barque
35,Bloodmoon Brig,Sloop
36,The Sinking Specter,Sloop
37,Frostbite Raider,Frigate
38,Frost Siren,Galleon
39,The Whispering Skull,Barque
40,Deadlight,Galleon
41,Rotfin Corsair,Barque
42,The Ashen Revenant,Galleon
43,Marrow's End,Barque
44,Grimward,Brigantine
45,Leviathan’s Grave,Brigantine
46,The Rusted Saber,Galleon
47,Gallows Anchor,Brigantine
48,The Bleeding Horizon,Brigantine
49,Stormbreaker,Sloop
50,Abysswatcher,Frigate
51,Blight of the Deep,Galleon
52,Burning Marlin,Brigantine
53,Devil’s Crest,Sloop
54,Ebon Mariner,Frigate
55,Voodoo Pearl,Frigate
56,The Ebon Drake,Sloop
57,Grimward,Galleon
58,Ironfang Warden,Frigate
59,Silent Revenant,Frigate
60,Starless Phantom,Sloop
61,Devil’s Mistress,Frigate
62,Bonegale,Galleon
63,Hollow Warden,Galleon
64,Rotborn Raider,Barque
65,The Forgotten Raider,Barque
66,Frostshadow,Barque
67,The Whispering Skull,Sloop
68,The Silent Kraken,Frigate
69,The Blighted Jewel,Barque
70,Leviathan’s Roar,Frigate
71,The Coral Phantom,Frigate
72,Sable Corsair,Sloop
73,The Bleeding Horizon,Sloop
74,Widow’s Fang,Brigantine
75,Saltscourge,Brigantine
76,Leviathan’s Roar,Brigantine
77,Gravecurrent,Barque
78,Crimsontide Raider,Frigate
79,Vulture’s Grin,Galleon
80,The Scarlet Sinker,Barque
81,The Rusted Saber,Galleon
82,Hollow Warden,Frigate
83,The Shrieking Siren,Sloop
84,Deadlight,Sloop
85,The Shrieking Siren,Galleon
86,Broken Trident,Brigantine
87,The Howling Gale,Sloop
88,The Whispering Skull,Barque
89,Broken Marlin,Barque
90,Bleeding Compass,Barque
91,Midnight Crown,Brigantine
92,Red Skull Warden,Frigate
93,Cursed Skull,Frigate
94,Rustscale Raider,Frigate
95,Thundercaller,Sloop
96,Bloodwhale,Brigantine
97,The Maelstrom’s Kiss,Sloop
98,Grim Haven,Brigantine
99,Starless Phantom,Barque
100,Siren’s Teeth,Barque
101,Drowned Fury,Frigate
102,Silentbone,Brigantine
103,Boneharbor Brig,Frigate
104,Phantom’s Wake,Barque
105,Dragon's Maw,Sloop
106,Shattered Fortune,Galleon
107,Blightfin,Sloop
108,Seabane Corsair,Barque
109,Sunken Eclipse,Frigate
110,Sable Wraith,Barque
111,Deathwake,Sloop
112,The Ashen Star,Barque
113,Broken Wing,Brigantine
114,Cinderwake,Brigantine
115,The Maelstrom’s Kiss,Barque
116,Death Shark,Sloop
117,Sunken Fury,Frigate
118,The Blighted Jewel,Frigate
119,Sable Corsair,Sloop
120,Pale Lantern,Sloop
121,The Shrieking Siren,Frigate
122,Rottentide Raider,Frigate
123,Deepstar Marauder,Sloop
124,Drowned Wraith,Galleon
125,Siren’s Vengeance,Sloop
126,Sunken Fury,Galleon
127,Sunken Fury,Galleon
128,Cursed Riptide,Brigantine
129,Rotten Jewel,Barque
130,The Sunken Star,Galleon
131,Sea Serpent’s Coil,Sloop
132,Seafoam Marauder,Frigate
133,Phantom’s Wake,Galleon
134,Silent Torrent,Brigantine
135,Dragon's Maw,Galleon
136,Deathcurrent,Sloop
137,Abysswalker,Brigantine
138,Frostshadow,Galleon
139,Broken Wing,Frigate
140,Dead Man’s Fancy,Sloop
141,Voodoo Pearl,Brigantine
142,Darktide,Galleon
143,Bonegale,Barque
144,Rustfang,Sloop
145,The Rotten Crown,Sloop
146,Stormborn Revenant,Brigantine
147,Leviathan’s Roar,Frigate
148,Bloodsail Raider,Barque
149,Saltdrinker,Barque
150,Leviathan’s Howl,Sloop
151,Cursed Skull,Frigate
152,Ghosttide,Frigate
153,Deepstar Marauder,Frigate
154,Forsaken Spirit,Frigate
155,Abysswalker,Barque
156,The Hollow Marlin,Barque
157,Brinewolf,Frigate
158,The Ashen Star,Sloop
159,Starless Phantom,Galleon
160,Cursed Marlin,Brigantine
161,Starlit Marauder,Brigantine
162,Sable Corsair,Sloop
163,Broken Compass,Brigantine
164,Bloodgale,Galleon
165,The Sinking Specter,Galleon
166,Blackwater Wraith,Frigate
167,Grimdrift,Barque
168,Wailing Horizon,Galleon
169,Silent Torrent,Brigantine
170,Stormbreaker,Barque
171,Blight of the Deep,Barque
172,Ghostwake,Sloop
173,The Whispering Skull,Galleon
174,Frost Siren,Sloop
175,Voodoo Pearl,Barque
176,Wraithfin,Barque
177,Voodoo Pearl,Barque
178,Bloodharbor,Brigantine
179,Frost Siren,Brigantine
180,Riftbreaker,Frigate
181,Wraithfin,Sloop
182,Pale Leviathan,Barque
183,Tempest Queen,Barque
184,The Maelstrom’s Kiss,Barque
185,Rotborn Raider,Sloop
186,Bleeding Compass,Brigantine
187,Rustscale Raider,Galleon
188,Frostbite Raider,Galleon
189,The Bleeding Tide,Brigantine
190,Specter’s Wake,Barque
191,Broken Marlin,Frigate
192,The Drowned Maiden,Frigate
193,Silent Torrent,Galleon
194,Death's Embrace,Brigantine
195,Wretched Serpent,Frigate
196,The Grim Albatross,Galleon
197,Wretched Serpent,Sloop
198,Wraithfin,Frigate
199,Bitter Current,Galleon
200,Twilight Corsair,Frigate
201,Frostbite Raider,Brigantine
202,The Bleeding Tide,Frigate
203,Silent Revenant,Brigantine
204,The Silent Dagger,Brigantine
205,Bloodsail Raider,Frigate
206,Ironfang Warden,Sloop
