Tid,Value,Location,Iid,Pid
1,$3552.38,Mountain,72,304
2,$94155.95,Tree,59,360
3,$37984.12,Cave,10,473
4,$56832.55,Unknown,60,80
5,$29455.52,Temple,61,442
6,$65133.74,Temple,74,706
7,$10029.12,Underground,90,57
8,$87668.13,Cave,16,382
9,$59620.00,Underground,98,368
10,$47370.08,Cave,14,45
11,$32304.57,Mountain,39,662
12,$74925.33,Cave,64,131
13,$3639.94,Mine Shaft,97,528
14,$6190.10,Underground,22,574
15,$26144.12,Underground,19,282
16,$66638.10,Mine Shaft,37,708
17,$39979.61,Cave,79,55
18,$42910.37,Beach,72,103
19,$77997.52,Beach,96,98
20,$5621.13,Mountain,52,186
21,$24000.96,Shrine,53,661
22,$72530.46,Temple,49,159
23,$4508.85,Temple,60,106
24,$21598.09,Shrine,83,462
25,$28139.82,Underground,70,494
26,$81022.01,Temple,21,709
27,$93025.18,Tree,25,545
28,$17526.45,Temple,33,299
29,$88523.80,Temple,20,47
30,$75680.36,Tree,8,81
31,$5330.68,Temple,71,401
32,$51064.16,Cave,7,206
33,$44033.75,Shrine,99,634
34,$77681.45,Mountain,46,558
35,$94881.86,Mountain,7,698
36,$36590.69,Tree,19,41
37,$72598.12,Temple,64,143
38,$35596.22,Tree,13,247
39,$41560.62,Beach,27,684
40,$59019.98,Mine Shaft,84,522
41,$16046.68,Cave,50,608
42,$40237.32,Tree,8,37
43,$9188.16,Mountain,50,443
44,$52193.02,Mountain,32,345
45,$49659.49,Temple,12,592
46,$78198.69,Shrine,85,295
47,$21593.60,Shrine,43,503
48,$40316.95,Mine Shaft,77,401
49,$71752.66,Underground,65,227
50,$61809.18,Unknown,84,462
51,$379.46,Cave,72,229
52,$54953.56,Unknown,36,217
53,$74191.16,Underground,6,243
54,$77838.98,Unknown,37,45
55,$11651.41,Beach,47,360
56,$39246.25,Shrine,22,262
57,$99213.71,Beach,23,701
58,$59021.04,Temple,84,12
59,$78619.77,Mine Shaft,35,606
60,$68965.20,Unknown,90,336
61,$59444.22,Underground,97,534
62,$20332.23,Mountain,79,594
63,$49466.28,Unknown,35,639
64,$10013.17,Unknown,43,55
65,$91767.37,Mountain,17,533
66,$48058.30,Underground,48,706
67,$32529.25,Tree,48,592
68,$19247.19,Underground,7,514
69,$17751.00,Temple,23,511
70,$81017.23,Underground,87,596
71,$95207.30,Tree,85,691
72,$27136.79,Mine Shaft,97,38
73,$22479.73,Tree,24,331
74,$14797.59,Shrine,94,315
75,$29450.77,Mine Shaft,3,298
76,$11005.80,Shrine,28,630
77,$86735.28,Mine Shaft,54,283
78,$55004.42,Underground,20,529
79,$79550.46,Cave,64,566
80,$32586.08,Mountain,17,171
81,$18202.92,Beach,13,456
82,$8945.93,Beach,86,528
83,$74489.90,Shrine,48,497
84,$18420.25,Unknown,43,539
85,$37371.61,Shrine,31,577
86,$35479.86,Temple,65,260
87,$68040.05,Mine Shaft,92,615
88,$31592.43,Mine Shaft,70,656
89,$63943.62,Beach,21,156
90,$63899.58,Tree,3,199
91,$38402.49,Temple,91,532
92,$26455.89,Cave,52,436
93,$36235.84,Unknown,23,427
94,$64883.20,Temple,86,337
95,$77395.19,Cave,74,516
96,$19603.06,Cave,15,302
97,$78038.27,Beach,19,482
98,$80782.31,Mine Shaft,45,12
99,$43700.99,Mine Shaft,49,630
100,$59499.91,Underground,92,266
