Iid,Sid,Date
71,281,1759-09-08
39,467,1685-01-21
15,272,1607-09-10
50,164,1650-05-02
34,270,1637-12-30
89,273,1696-06-24
2,42,1623-11-10
27,231,1745-06-28
74,161,1793-07-28
19,429,1616-06-20
10,312,1648-02-02
29,397,1654-05-27
48,468,1783-08-05
77,17,1757-12-28
44,354,1683-03-19
88,180,1639-07-19
43,255,1724-12-24
76,130,1612-10-27
9,227,1726-06-06
42,414,1713-12-24
59,107,1683-07-02
85,292,1720-02-09
93,210,1796-08-14
62,193,1753-05-12
52,417,1711-01-27
80,14,1698-05-06
73,288,1693-04-27
72,119,1795-07-22
26,121,1601-06-11
70,32,1716-08-21
12,93,1788-08-29
59,287,1799-04-09
39,363,1699-07-26
30,461,1625-08-02
4,36,1682-04-08
77,308,1776-12-26
34,328,1603-08-09
93,408,1756-10-14
65,402,1798-06-02
73,20,1776-12-18
94,491,1696-05-01
51,56,1779-06-26
35,137,1656-11-04
87,31,1736-08-17
17,452,1716-01-03
37,244,1629-01-09
8,398,1755-10-08
80,19,1695-10-11
48,232,1761-12-09
27,205,1652-04-02
91,405,1652-03-05
89,479,1780-12-10
78,469,1731-02-04
85,270,1735-06-16
25,106,1795-02-26
63,230,1607-07-01
1,94,1725-04-17
40,450,1677-02-13
42,124,1671-02-01
13,299,1623-06-27
71,311,1757-06-15
58,193,1629-04-17
5,339,1673-09-15
26,452,1787-02-17
61,335,1693-12-30
45,485,1637-08-15
29,468,1756-12-08
20,279,1627-10-16
32,321,1790-07-14
58,145,1716-08-21
27,425,1718-04-16
38,221,1647-11-08
70,196,1751-01-15
56,14,1678-04-14
85,480,1709-12-07
96,338,1698-01-09
48,489,1689-01-22
15,378,1619-01-22
90,381,1768-05-19
14,246,1688-02-05
79,223,1634-07-09
16,106,1770-06-25
88,128,1664-11-06
75,484,1689-01-26
46,20,1648-08-26
47,297,1735-05-19
82,127,1723-03-31
36,337,1636-03-12
23,72,1680-05-16
19,73,1706-03-07
4,178,1624-09-08
12,129,1614-11-06
95,357,1683-06-06
18,415,1695-08-10
20,138,1744-03-15
34,388,1649-08-14
33,376,1607-07-13
59,450,1703-05-01
90,273,1765-04-05
49,380,1781-05-05
53,142,1744-11-07
77,385,1637-07-13
15,13,1650-06-02
3,276,1678-08-30
4,322,1627-07-27
71,457,1675-02-01
83,203,1748-11-24
69,108,1619-04-11
78,461,1676-03-25
48,401,1692-03-15
1,345,1753-03-02
58,465,1703-11-13
6,90,1626-07-20
25,437,1666-01-09
70,38,1720-05-08
46,316,1698-04-27
52,25,1620-12-08
24,304,1783-10-29
60,393,1619-11-29
86,354,1750-09-28
26,438,1656-10-03
73,468,1674-09-10
91,436,1763-09-24
67,111,1747-01-20
76,160,1705-11-22
91,120,1664-07-20
46,107,1706-09-10
24,495,1729-08-29
95,192,1618-03-16
81,30,1691-04-04
38,222,1730-04-18
59,499,1624-12-26
82,389,1683-02-23
84,228,1693-03-30
67,420,1697-06-13
66,171,1663-02-05
7,463,1662-08-20
63,416,1621-11-29
52,229,1719-10-12
40,327,1743-12-22
30,430,1683-05-03
72,92,1643-06-10
92,48,1757-06-04
15,400,1748-01-15
8,205,1678-04-11
10,91,1661-05-24
16,386,1630-04-08
64,382,1768-05-24
2,301,1702-06-24
68,161,1716-08-31
51,84,1758-06-24
71,93,1604-04-26
48,97,1692-12-12
90,440,1675-01-28
85,438,1782-07-26
83,11,1664-07-27
27,403,1721-01-21
2,384,1707-04-21
80,316,1705-10-18
46,196,1640-02-01
10,26,1788-11-16
1,195,1772-12-02
86,306,1673-08-18
74,9,1674-09-05
53,471,1677-02-20
99,183,1764-07-05
88,330,1603-03-04
50,37,1729-01-25
38,251,1626-01-03
37,424,1779-08-27
4,56,1645-08-25
48,185,1682-04-17
23,228,1635-07-27
11,100,1645-12-25
16,212,1659-05-31
77,411,1697-05-19
55,303,1740-02-01
67,229,1751-01-26
52,231,1730-12-26
60,434,1615-01-28
98,197,1616-03-23
19,21,1640-11-02
71,405,1637-06-07
70,263,1728-03-20
17,415,1763-11-17
78,481,1784-10-04
59,354,1668-11-20
13,277,1767-06-21
97,83,1697-10-27
85,129,1780-12-24
95,450,1608-04-22
17,381,1628-11-21
46,19,1623-07-29
73,409,1738-11-08
14,416,1779-07-15
70,287,1631-07-01
58,102,1711-04-05
10,224,1640-11-20
4,329,1778-11-10
89,117,1617-01-06
67,411,1605-07-04
18,419,1743-07-25
82,194,1641-05-14
42,169,1663-02-16
23,31,1741-08-07
56,495,1784-03-09
1,438,1656-08-23
37,134,1713-05-10
63,478,1694-12-02
47,305,1795-03-06
78,28,1752-12-13
11,40,1763-04-10
74,171,1611-05-06
20,77,1666-10-14
86,190,1706-09-25
30,52,1621-05-09
21,58,1724-06-08
98,291,1694-07-23
3,60,1775-05-07
40,186,1617-08-30
17,270,1706-02-18
88,36,1627-01-30
58,382,1795-11-21
72,265,1702-09-08
83,351,1661-08-26
67,439,1609-04-08
82,285,1685-03-01
13,268,1625-02-25
46,56,1780-03-12
92,295,1783-09-12
38,226,1708-06-23
54,82,1652-11-08
74,417,1673-10-12
70,241,1625-01-19
64,253,1793-12-22
10,197,1694-08-14
19,245,1776-02-22
85,248,1766-05-31
24,205,1692-04-03
52,422,1609-12-01
79,119,1750-12-19
25,303,1788-01-18
44,159,1701-08-17
66,363,1767-10-25
7,149,1621-07-18
60,47,1601-10-23
31,132,1744-04-20
39,6,1634-10-21
81,9,1738-12-04
49,123,1686-01-24
53,397,1697-03-26
74,4,1747-06-05
96,250,1629-01-23
88,83,1677-11-24
22,322,1694-09-01
66,341,1665-05-18
56,101,1600-09-04
94,383,1678-02-09
43,379,1758-05-16
33,75,1636-03-10
20,380,1671-11-01
47,163,1674-12-24
35,34,1656-08-08
26,85,1747-09-17
13,146,1636-09-05
79,57,1693-08-26
58,467,1667-04-11
7,16,1653-06-04
76,403,1606-02-10
12,203,1600-06-10
25,333,1735-02-27
29,155,1636-10-27
44,478,1708-09-18
93,158,1606-11-13
18,233,1672-04-29
32,390,1639-03-18
39,93,1703-10-22
67,39,1613-03-08
21,448,1615-10-05
89,280,1729-04-30
49,359,1664-11-12
95,96,1723-08-01
36,163,1630-12-12
35,186,1703-05-05
31,304,1701-05-10
84,203,1787-05-21
58,420,1721-12-17
91,294,1686-07-10
50,126,1696-09-19
18,408,1710-02-14
1,120,1746-06-10
43,391,1689-09-05
52,117,1632-08-23
65,245,1647-04-07
2,181,1768-08-26
66,401,1703-05-01
30,49,1632-02-21
81,135,1609-06-17
79,255,1718-08-13
9,217,1641-10-28
27,371,1697-06-12
17,392,1719-03-22
67,419,1669-12-30
73,362,1701-09-03
4,182,1758-05-30
33,483,1745-09-27
77,112,1655-11-22
76,309,1745-03-26
56,338,1637-10-03
12,455,1659-02-04
80,374,1787-08-27
23,256,1679-10-17
96,371,1741-02-08
73,173,1661-01-28
19,476,1774-08-12
32,28,1750-10-29
31,221,1792-04-04
35,12,1701-09-01
34,84,1697-02-14
11,66,1616-10-12
30,408,1704-10-04
84,245,1705-12-28
61,442,1707-05-30
36,327,1737-06-18
77,132,1793-09-22
65,479,1751-08-12
25,473,1661-10-21
16,58,1690-07-01
10,295,1648-09-18
86,175,1735-09-10
20,328,1605-03-08
29,32,1678-03-16
68,47,1709-11-09
27,83,1611-01-06
56,434,1701-04-22
55,321,1657-08-30
71,223,1681-08-01
41,11,1782-10-15
45,184,1695-05-02
22,64,1653-08-09
4,354,1777-10-09
82,347,1600-11-12
41,220,1777-08-03
75,366,1743-03-02
50,222,1734-10-05
92,215,1642-01-08
35,95,1766-12-05
98,367,1703-03-14
64,10,1617-05-21
79,404,1733-02-14
52,136,1730-02-11
42,389,1686-03-21
73,341,1634-08-15
29,287,1719-08-26
31,54,1776-10-20
96,15,1632-11-25
83,485,1754-08-26
70,269,1770-05-23
65,500,1648-10-14
10,170,1643-10-06
24,336,1667-10-20
38,397,1645-06-15
99,40,1646-01-01
51,330,1662-06-13
43,441,1690-11-21
67,138,1641-08-07
56,403,1683-09-02
14,33,1732-12-03
71,444,1747-08-14
36,188,1745-08-07
94,145,1669-07-31
13,168,1616-07-16
96,251,1604-08-09
10,336,1698-05-20
88,384,1725-02-21
62,306,1600-05-01
1,97,1659-05-22
16,493,1736-04-30
79,488,1640-04-24
12,303,1757-06-23
19,491,1615-04-18
78,356,1643-09-17
86,394,1617-06-10
80,142,1698-11-17
64,364,1759-05-03
42,174,1739-01-12
92,156,1711-05-13
85,259,1651-03-27
24,4,1653-10-02
28,371,1635-03-12
73,41,1694-06-09
35,8,1728-08-27
9,181,1614-03-20
22,183,1785-04-19
45,327,1750-01-22
99,206,1735-07-28
98,388,1735-03-07
18,434,1640-12-19
7,297,1691-12-15
44,437,1758-01-11
87,40,1717-05-10
50,9,1706-08-29
27,151,1634-08-15
99,280,1632-01-26
33,103,1792-01-24
71,41,1756-01-15
3,194,1727-05-02
20,263,1716-07-22
82,244,1759-02-21
92,352,1738-05-02
43,394,1750-03-06
16,300,1671-10-13
97,181,1693-03-02
45,175,1629-02-26
34,145,1639-04-20
35,99,1661-09-11
26,68,1686-04-29
41,13,1600-09-30
56,78,1605-11-01
28,94,1751-03-05
24,385,1671-09-02
75,255,1722-12-21
61,10,1645-12-14
95,180,1790-07-29
78,9,1784-05-26
79,107,1780-02-22
30,70,1671-06-24
90,15,1785-06-06
50,281,1732-05-24
2,283,1732-03-22
53,241,1651-09-30
94,357,1693-07-12
84,457,1763-08-30
73,117,1773-06-15
58,322,1620-05-27
28,334,1793-01-17
2,370,1655-03-08
87,36,1658-07-11
3,295,1682-08-15
50,319,1691-05-10
15,262,1670-10-23
14,210,1628-03-27
17,266,1786-10-22
52,101,1687-12-08
84,234,1684-11-10
44,369,1746-01-08
86,54,1792-05-15
96,397,1716-11-28
53,366,1604-04-08
16,333,1776-06-19
54,3,1764-04-03
9,484,1793-10-24
6,72,1665-03-21
11,393,1743-01-28
22,402,1652-07-02
10,368,1753-01-08
47,124,1647-11-16
21,362,1672-02-17
88,327,1768-06-05
8,106,1712-10-17
38,410,1630-06-15
20,223,1619-05-14
92,312,1706-12-20
42,26,1750-05-31
12,278,1688-06-15
91,87,1686-07-13
41,17,1635-01-30
62,488,1786-04-23
16,170,1794-01-25
7,334,1795-09-06
19,26,1716-10-28
15,338,1748-10-24
74,498,1645-02-19
50,407,1618-04-27
82,459,1790-02-02
88,457,1772-08-12
26,228,1604-12-27
20,388,1695-01-19
25,317,1658-07-08
6,266,1705-03-22
2,153,1778-11-27
31,336,1690-01-08
99,308,1721-12-11
57,499,1632-12-19
24,360,1684-04-10
38,478,1679-11-12
87,362,1761-03-20
5,21,1633-06-02
47,279,1791-11-16
92,81,1748-11-08
21,244,1736-12-16
79,448,1732-11-17
69,141,1752-05-01
63,118,1665-11-11
48,150,1749-10-17
22,281,1686-08-24
48,46,1701-09-11
1,316,1662-06-07
75,382,1735-01-01
30,27,1759-01-02
2,377,1607-08-31
29,254,1798-08-08
87,94,1685-11-30
72,157,1789-02-05
52,320,1600-10-30
65,329,1742-07-27
41,99,1603-09-04
20,319,1650-08-15
79,467,1719-02-03
93,173,1762-01-15
46,185,1770-03-10
86,302,1603-08-08
10,466,1671-10-14
9,204,1728-01-31
76,199,1776-06-15
40,473,1686-01-20
59,443,1623-11-27
74,492,1652-08-08
98,484,1621-10-05
61,8,1763-12-31
13,88,1794-11-01
16,447,1698-03-31
6,178,1690-11-24
71,299,1762-05-04
26,189,1691-02-28
17,220,1775-01-06
38,404,1717-03-16
85,267,1691-01-03
61,186,1757-05-19
48,288,1663-07-05
56,251,1762-05-21
64,478,1761-01-16
59,96,1635-07-02
72,31,1699-12-29
91,389,1772-03-30
2,41,1613-06-24
65,82,1614-12-27
33,336,1630-07-25
57,431,1797-11-12
74,106,1772-08-28
6,319,1666-09-04
17,159,1766-01-29
24,167,1603-02-07
76,381,1794-03-21
60,85,1726-11-02
87,124,1715-02-02
40,497,1778-05-17
45,384,1691-09-07
52,24,1695-04-05
23,142,1604-02-04
3,334,1760-10-09
84,409,1647-11-29
75,149,1774-09-06
44,405,1684-12-30
39,337,1689-12-26
11,227,1689-12-26
80,256,1793-04-06
43,182,1630-11-30
11,32,1646-04-22
39,342,1743-01-08
73,305,1743-03-28
47,279,1617-09-19
76,474,1661-08-17
50,63,1677-05-30
48,379,1670-06-27
35,202,1709-04-17
86,65,1776-09-05
68,162,1739-09-25
89,160,1636-08-01
13,355,1793-12-04
95,389,1710-05-16
30,352,1609-12-12
27,143,1668-12-13
2,52,1612-03-07
7,234,1724-11-19
40,120,1787-08-29
5,475,1679-11-22
92,456,1693-08-09
22,228,1689-10-10
49,414,1745-11-13
29,180,1698-06-30
57,44,1628-11-24
70,287,1741-02-05
42,405,1731-07-04
33,144,1692-04-21
10,477,1720-05-25
17,53,1772-12-15
54,399,1666-12-16
16,488,1626-09-09
78,266,1797-11-15
62,287,1621-09-26
66,281,1757-05-15
38,274,1760-08-02
31,438,1634-05-23
81,310,1726-04-08
48,259,1663-07-13
22,264,1714-07-09
58,363,1617-04-28
44,262,1672-12-01
30,61,1680-02-25
24,362,1710-03-17
12,199,1693-01-04
65,456,1617-04-23
97,293,1603-04-30
11,33,1751-11-01
89,272,1639-05-11
60,105,1779-10-19
39,439,1623-11-14
29,100,1614-02-13
59,37,1682-12-08
77,356,1645-02-23
57,121,1742-11-01
8,29,1754-09-21
51,298,1681-01-17
25,332,1707-07-10
47,461,1608-11-28
28,261,1619-01-19
84,41,1772-11-20
10,17,1706-03-29
45,280,1768-08-25
11,28,1791-06-30
21,65,1606-06-24
52,64,1767-12-25
39,317,1742-03-26
12,243,1721-08-30
23,384,1676-08-05
90,7,1658-06-20
74,13,1680-11-02
44,265,1630-02-10
24,103,1755-09-11
92,397,1769-09-03
40,155,1648-05-29
93,54,1761-07-08
59,369,1726-11-06
14,24,1626-01-19
17,490,1694-03-28
7,483,1646-03-10
82,377,1634-01-12
53,373,1635-03-09
42,458,1709-06-11
6,334,1799-05-27
78,178,1678-10-03
66,235,1774-07-13
50,5,1751-08-20
63,368,1692-07-27
84,246,1678-10-13
68,310,1769-08-25
47,177,1771-09-11
43,42,1631-12-22
99,433,1774-03-07
75,441,1704-02-21
50,355,1767-05-23
31,131,1609-06-08
57,426,1626-09-22
28,133,1691-12-14
90,12,1755-04-03
87,210,1674-03-15
5,420,1704-08-15
80,238,1707-03-29
39,337,1727-01-06
88,405,1772-03-09
27,213,1659-09-25
3,24,1792-05-13
47,37,1792-07-31
78,180,1600-05-05
96,349,1742-04-20
72,241,1700-02-11
92,297,1772-05-09
11,75,1685-02-26
42,486,1633-11-28
1,166,1758-09-23
8,367,1694-02-03
